index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,,,3,3,,
3,2,4,9,,3,3,3,
4,3,5,10,,3,3,3,
5,4,,11,,3,,3,
6,,,12,,,,3,
7,,8,,,,3,,
8,7,,14,,3,,3,
9,,,15,3,,,3,3
10,,,16,4,,,3,3
11,,12,,5,,3,,3
12,11,,,6,3,,,3
13,,,19,,,,3,
14,,15,20,8,,3,3,3
15,14,16,21,9,3,3,3,3
16,15,17,22,10,3,3,3,3
17,16,,,,3,,,
18,,,24,,,,3,
19,,20,,13,,3,,3
20,19,21,26,14,3,3,3,3
21,20,,27,15,3,,3,3
22,,23,,16,,3,,3
23,22,24,29,,3,3,3,
24,23,,,18,3,,,3
25,,26,31,,,3,3,
26,25,27,,20,3,3,,3
27,26,,33,21,3,,3,3
28,,29,,,,4,,
29,28,30,35,23,4,3,3,3
30,29,,,,3,,,
31,,32,,25,,3,,3
32,31,33,38,,3,3,3,
33,32,34,39,27,3,3,3,3
34,33,,40,,3,,3,
35,,,41,29,,,3,3
36,,,42,,,,3,
37,,38,,,,3,,
38,37,,44,32,3,,3,3
39,,,45,33,,,3,3
40,,41,,34,,3,,3
41,40,42,,35,3,3,,3
42,41,,48,36,3,,3,3
43,,44,,,,3,,
44,43,,,38,3,,,3
45,,,,39,,,,3
46,,47,,,,3,,
47,46,48,,,3,3,,
48,47,,,42,3,,,3
